epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,652.398,1.02498,0.86447,1.37201,0.97412,0.53797,0.69797,0.53041,1.44224,1.40738,1.88201,0.0002575,0.0002575,0.0002575
77,660.882,1.00457,0.84642,1.3674,1,0.52992,0.69688,0.51424,1.46327,1.40501,1.91819,0.0002476,0.0002476,0.0002476
78,669.413,0.96826,0.81134,1.33392,0.86761,0.58072,0.69123,0.51899,1.44083,1.44929,1.85959,0.0002377,0.0002377,0.0002377
79,677.906,0.99356,0.82138,1.34434,0.76043,0.64288,0.70328,0.51944,1.45821,1.40855,1.88819,0.0002278,0.0002278,0.0002278
80,686.548,0.99819,0.81259,1.36968,0.97411,0.53165,0.69659,0.51861,1.45841,1.40797,1.90936,0.0002179,0.0002179,0.0002179
81,695.091,0.99785,0.81462,1.36256,0.96255,0.53165,0.69775,0.51428,1.45778,1.42433,1.90097,0.000208,0.000208,0.000208
82,703.673,0.96059,0.75113,1.33639,0.98833,0.53618,0.70494,0.52515,1.43668,1.38998,1.86747,0.0001981,0.0001981,0.0001981
83,712.247,0.97018,0.82071,1.35733,0.97703,0.53844,0.70012,0.52232,1.46859,1.38127,1.92225,0.0001882,0.0001882,0.0001882
84,720.668,0.97597,0.78251,1.32702,0.81898,0.60759,0.69584,0.52549,1.4472,1.42104,1.86179,0.0001783,0.0001783,0.0001783
85,729.377,0.99488,0.79833,1.34113,0.8157,0.60759,0.68572,0.52023,1.44599,1.47924,1.85434,0.0001684,0.0001684,0.0001684
86,737.842,1.00996,0.82815,1.36797,0.94277,0.55063,0.68313,0.50878,1.47003,1.44864,1.92118,0.0001585,0.0001585,0.0001585
87,746.353,0.96715,0.77877,1.31982,0.83553,0.61091,0.69607,0.52081,1.47969,1.41484,1.91028,0.0001486,0.0001486,0.0001486
88,754.878,0.99511,0.80226,1.35021,0.86693,0.6185,0.70278,0.52216,1.48168,1.41745,1.93044,0.0001387,0.0001387,0.0001387
89,763.378,0.97735,0.77804,1.33478,0.82478,0.62658,0.69925,0.51732,1.47395,1.47861,1.9012,0.0001288,0.0001288,0.0001288
90,771.888,0.96856,0.77518,1.31741,0.97689,0.53165,0.69595,0.52894,1.42771,1.45845,1.88808,0.0001189,0.0001189,0.0001189
91,796.7,0.92753,0.79781,1.41057,0.97699,0.53755,0.68172,0.5154,1.4484,1.47803,1.88605,0.000109,0.000109,0.000109
92,805.315,0.88604,0.73455,1.34434,0.94703,0.53797,0.67831,0.50887,1.4502,1.46276,1.88048,9.91e-05,9.91e-05,9.91e-05
93,813.85,0.87908,0.72608,1.36568,0.95445,0.53046,0.6736,0.51449,1.46169,1.44969,1.92088,8.92e-05,8.92e-05,8.92e-05
94,822.308,0.86875,0.7121,1.34175,0.96549,0.53118,0.67456,0.51602,1.47049,1.47674,1.91557,7.93e-05,7.93e-05,7.93e-05
95,830.699,0.85973,0.71571,1.35636,0.96578,0.53594,0.67243,0.50587,1.45774,1.48413,1.89796,6.94e-05,6.94e-05,6.94e-05
96,839.15,0.85599,0.69543,1.34435,0.9452,0.54583,0.67838,0.50623,1.44621,1.49526,1.88379,5.95e-05,5.95e-05,5.95e-05
